task_id,persona,primary_dimension,secondary_dimension,sort_mode,hotel_id,hotel_name,n_respondents,n_shown,n_chosen,share,share_pct,rank_in_group,mean_neg_log_position,spatial,accessibility,facility,economic,disruption,price_lkr,rating,star,distance_km
t1,Evening walker,spatial,economic,price_desc,lp6e625,Hotel Janaki,10,10,0,0.0,0.0,6,-3.4012,0.188,0.094,0.2188,0.906,0.825,15319,4.0,3,4.2
t1,Evening walker,spatial,economic,price_desc,lp76eba,Radisson Hotel Colombo,10,10,0,0.0,0.0,5,-2.9444,0.156,0.281,0.4703,0.562,0.8,27402,4.2,4,5.0
t1,Evening walker,spatial,economic,price_desc,lp65589ffb,MaRadha Colombo,10,10,0,0.0,0.0,31,-2.6391,0.25,0.312,0.325,0.406,0.675,35408,4.8,3,3.6
t1,Evening walker,spatial,economic,price_desc,lp6f007,Clock Inn Colombo,10,10,0,0.0,0.0,32,-3.434,0.312,0.406,0.0563,0.938,0.625,13715,3.8,2,3.4
t1,Evening walker,spatial,economic,rating,lp102b02,Marino Beach Colombo,33,33,0,0.0,0.0,4,-1.9459,0.406,0.344,0.9047,0.469,0.625,30177,4.6,5,3.2
t1,Evening walker,spatial,economic,rating,lp6557c6e0,Granbell Hotel Colombo,33,33,0,0.0,0.0,30,-1.7918,0.531,0.625,0.5422,0.5,0.35,28807,4.6,4,2.3
t1,Evening walker,spatial,economic,rating,lp741c5,Cinnamon Red Colombo,33,33,0,0.0,0.0,29,-2.4849,0.5,0.5,0.6266,0.375,0.35,36530,4.5,4,1.9
t1,Evening walker,spatial,economic,rating,lp9855f,Fairway Colombo - Sri Lanka's First Hotel With Robot Technology,33,33,0,0.0,0.0,28,-3.091,0.781,0.688,0.525,0.531,0.5,28429,4.2,4,2.1
t1,Evening walker,spatial,economic,rating,lp655a9e91,Zest Metropole,33,33,0,0.0,0.0,27,-2.8332,0.75,0.781,0.5375,0.656,0.5,21223,4.3,4,2.0
t1,Evening walker,spatial,economic,rating,lp656d3aa9,Sofia Colombo City Hotel,33,33,0,0.0,0.0,26,-2.8904,0.438,0.594,0.5922,0.594,0.35,23620,4.3,4,2.4
t1,Evening walker,spatial,economic,rating,lp803e1,Galle Face Hotel,33,33,0,0.0,0.0,25,-2.1972,0.719,0.875,0.8141,0.281,0.4,38531,4.5,5,1.8
t1,Evening walker,spatial,economic,rating,lpb1537,Shangri-La Colombo,33,33,9,0.272727,27.27,3,-0.6931,0.969,0.969,0.9281,0.031,0.4,68781,4.7,5,1.9
t1,Evening walker,spatial,economic,rating,lp3e58e,The Kingsbury Colombo,33,33,0,0.0,0.0,24,-2.9444,0.938,0.906,0.8766,0.312,0.55,37025,4.2,5,2.2
