task_id,persona,primary_dimension,secondary_dimension,hotel_id,hotel_name,n_respondents,n_shown,n_chosen,share,share_pct,rank_in_group,mean_neg_log_position,spatial,accessibility,facility,economic,disruption,price_lkr,rating,star,distance_km
t2,Business traveller,accessibility,facility,lp6557c6e0,Granbell Hotel Colombo,237,236,0,0.0,0.0,14,-2.6932,0.312,0.594,0.5422,0.5,0.35,28807,4.6,4,2.3
t2,Business traveller,accessibility,facility,lp741c5,Cinnamon Red Colombo,237,236,0,0.0,0.0,15,-2.5447,0.531,0.781,0.6266,0.375,0.35,36530,4.5,4,1.9
t2,Business traveller,accessibility,facility,lp9855f,Fairway Colombo - Sri Lanka's First Hotel With Robot Technology,237,236,0,0.0,0.0,17,-3.225,0.094,0.125,0.525,0.531,0.5,28429,4.2,4,2.1
t2,Business traveller,accessibility,facility,lp655a9e91,Zest Metropole,237,236,0,0.0,0.0,18,-3.2241,0.125,0.219,0.5375,0.656,0.5,21223,4.3,4,2.0
t2,Business traveller,accessibility,facility,lp656d3aa9,Sofia Colombo City Hotel,237,236,0,0.0,0.0,23,-2.7807,0.469,0.531,0.5922,0.594,0.35,23620,4.3,4,2.4
t2,Business traveller,accessibility,facility,lp803e1,Galle Face Hotel,237,236,0,0.0,0.0,25,-2.9989,0.25,0.406,0.8141,0.281,0.4,38531,4.5,5,1.8
t2,Business traveller,accessibility,facility,lpb1537,Shangri-La Colombo,237,236,10,0.042373,4.24,6,-2.9508,0.219,0.188,0.9281,0.031,0.4,68781,4.7,5,1.9
t2,Business traveller,accessibility,facility,lp3e58e,The Kingsbury Colombo,237,236,0,0.0,0.0,20,-3.3487,0.062,0.062,0.8766,0.312,0.55,37025,4.2,5,2.2
t2,Business traveller,accessibility,facility,lp30277,Hilton Colombo Residence,237,236,0,0.0,0.0,21,-2.3575,0.656,0.719,0.9062,0.188,0.55,43133,4.4,5,0.9
t2,Business traveller,accessibility,facility,lp67708,Supun Arcade Residency,237,236,0,0.0,0.0,30,-2.4215,0.781,0.344,0.4906,0.719,0.725,20768,3.8,4,5.7
t2,Business traveller,accessibility,facility,lp7c172,Mirage Colombo,237,236,0,0.0,0.0,29,-2.9572,0.562,0.156,0.6328,0.75,0.8,20482,3.8,4,6.3
t2,Business traveller,accessibility,facility,lp33ddb,"Taj Samudra, Colombo",237,236,0,0.0,0.0,28,-3.0896,0.281,0.312,0.9016,0.156,0.55,43993,4.5,5,1.7
t2,Business traveller,accessibility,facility,lpa0a8a,NH Collection Colombo,237,236,0,0.0,0.0,27,-2.3909,0.438,0.812,0.9594,0.344,0.325,36981,4.6,5,2.0
t2,Business traveller,accessibility,facility,lp1bc0d,Hilton Colombo Hotel,237,236,0,0.0,0.0,26,-3.2537,0.188,0.031,0.8547,0.125,0.475,47767,4.2,5,1.9
t2,Business traveller,accessibility,facility,lp71118,CityRest Fort,237,237,6,0.025316,2.53,8,-3.2047,0.156,0.25,0.1922,0.969,0.45,11502,3.5,3,2.0
t2,Business traveller,accessibility,facility,lp43673,Pegasus Reef - A Beach Resort in Colombo,237,236,0,0.0,0.0,24,-3.3725,0.0,0.0,0.5859,0.781,0.95,20121,4.0,4,8.1
t2,Business traveller,accessibility,facility,lpc0df6,Fern Colombo,237,237,62,0.261603,26.16,2,-1.2511,0.875,0.938,0.1422,0.844,0.75,16245,4.0,3,1.8
t2,Business traveller,accessibility,facility,lp6574b103,"Amari Colombo, Sri Lanka",237,236,0,0.0,0.0,22,-2.8063,0.375,0.688,0.8687,0.219,0.4,42203,4.5,5,2.2
t2,Business traveller,accessibility,facility,lp81760,The Steuart by Citrus,237,236,0,0.0,0.0,31,-3.3312,0.031,0.094,0.4266,0.625,0.5,22604,4.2,4,2.2
t2,Business traveller,accessibility,facility,lp67286,Colombo Court Hotel & Spa,237,236,1,0.004237,0.42,11,-1.9212,0.812,0.844,0.5938,0.094,0.725,52144,4.5,4,3.3
t2,Business traveller,accessibility,facility,lpc08f9,Morven Hotel Colombo,237,236,0,0.0,0.0,19,-2.8889,0.344,0.5,0.6703,0.688,0.2,21054,4.5,4,2.1
